Mesin_ID;Siklus_Waktu;Suhu_Total_Kompresi_HPC;Suhu_Total_Turbin_LPT;Rasio_Tekanan_Mesin;Tekanan_Statis_Ruang_Bakar;Rasio_Aliran_Bahan_Bakar;Kecepatan_Poros_Koreksi;Sisa_Umur_RUL
1;1;15897;14006;904619;4747;52166;813862;191
1;2;159182;140314;904407;4749;52228;813149;190
1;3;158799;14042;905294;4727;52242;813323;189
1;4;158279;140187;904948;4713;52286;813383;188
1;5;158285;140622;905515;4728;52219;81338;187
1;6;158447;139837;904968;4716;52168;813285;186
1;7;159232;139777;905913;4736;52232;813232;185
1;8;158296;140097;90408;4724;52247;813107;184
1;9;159098;13948;904646;4729;52179;812569;183
1;10;159124;140046;90517;4703;52179;812938;182
1;11;158175;140064;904961;4715;5214;814058;181
1;12;158341;140015;904937;4718;5218;813425;180
1;13;158219;140083;904682;4738;52185;81281;179
1;14;159295;139916;904737;4744;52167;813443;178
1;15;158382;140213;905222;473;5225;812756;177
1;16;158798;14045;904934;4724;52149;813611;176
1;17;158496;139995;905492;4712;52189;813727;175
1;18;159104;139612;904955;4721;52176;813273;174
1;19;158756;140035;905399;474;52189;812913;173
1;20;158111;140523;90459;4722;52207;812971;172
1;21;158607;139813;904815;4715;52242;813402;171
1;22;159293;140057;906121;4724;5220;813041;170
1;23;158819;139475;904628;4725;52152;81279;169
1;24;159083;139881;904376;4744;52213;813388;168
1;25;15941;139939;905416;4736;52256;813661;167
1;26;158908;139607;904711;4726;52228;813115;166
1;27;159047;140184;904796;4737;5220;81346;165
1;28;158284;139913;904984;4741;52257;81273;164
1;29;158483;140099;905047;4724;52241;813306;163
1;30;159352;139608;904562;474;52219;813786;162
1;31;158418;13969;905878;4741;52195;812528;161
1;32;159138;140036;905097;4725;52192;81297;160
1;33;15884;140243;904713;4728;52191;813442;159
1;34;158147;140048;904646;4747;5217;812661;158
1;35;15900;14030;904576;4731;52175;814017;157
1;36;158172;140554;904456;4725;52232;813248;156
1;37;157911;13989;905544;4729;52229;813195;155
1;38;15896;13995;905527;4727;52242;813661;154
1;39;158321;140069;905176;4712;52223;813181;153
1;40;158208;140177;905298;4733;52184;813103;152
1;41;159131;140321;904899;4709;52207;813808;151
1;42;158466;140138;905706;4749;52223;813088;150
1;43;159152;140605;905788;4732;52274;812722;149
1;44;158694;14012;904687;4745;5223;813145;148
1;45;158242;139916;906032;4745;52173;812831;147
1;46;158829;140127;906038;472;52202;812871;146
1;47;158032;140289;905204;4722;52184;812621;145
1;48;158851;139916;904526;474;52191;812999;144
1;49;158435;139776;905064;4722;52137;813548;143
1;50;158849;140362;90486;4747;52233;81273;142
1;51;158554;140042;904709;4712;52191;813436;141
1;52;158377;139557;905601;4707;5221;813282;140
